Ledger ID,Invoice ID,Order ID,Expected Amount,Recorded Amount,Payment Method,Entry Date,Status,Notes
LED-CSV-0101,INV/CSV/00101,order_CSV26080101,2994.00,2994.00,card,2026-08-05,received,Beauty & Personal Care | Forest Essentials wash (CSV Import)
LED-CSV-0102,INV/CSV/00102,order_CSV26080102,47478.00,47478.00,upi,2026-08-05,received,Jewellery | Tanishq 22K gold mangalsutra (CSV Import)
LED-CSV-0103,INV/CSV/00103,order_CSV26080103,848.00,848.00,card,2026-08-05,received,Books & Stationery | Atomic Habits paperback (CSV Import)
LED-CSV-0104,INV/CSV/00104,order_CSV26080104,1532.00,1532.00,emi,2026-08-05,received,Fashion - Footwear | Skechers Go Walk 5 (CSV Import)
LED-CSV-0105,INV/CSV/00105,order_CSV26080105,37550.00,37550.00,card,2026-08-05,received,Jewellery | Tanishq 22K gold mangalsutra (CSV Import)
LED-CSV-0106,INV/CSV/00106,order_CSV26080106,2136.00,2136.00,card,2026-08-05,received,Beauty & Personal Care | Mamaearth vitamin C serum (CSV Import)
LED-CSV-0107,INV/CSV/00107,order_CSV26080107,833.00,833.00,wallet,2026-08-05,received,Sports & Fitness | Yonex badminton racket (CSV Import)
LED-CSV-0108,INV/CSV/00108,order_CSV26080108,3454.00,3454.00,card,2026-08-05,received,Electronics - Earbuds/TWS | Sony WH-1000XM5 (CSV Import)
LED-CSV-0109,INV/CSV/00109,order_CSV26080109,632.00,632.00,card,2026-08-05,received,Grocery & Essentials | Aashirvaad atta 10kg (CSV Import)
LED-CSV-0110,INV/CSV/00110,order_CSV26080110,113.00,113.00,netbanking,2026-08-06,received,Books & Stationery | Ikigai paperback (CSV Import)
LED-CSV-0111,INV/CSV/00111,order_CSV26080111,4339.00,4339.00,upi,2026-08-06,received,Home & Kitchen | Prestige induction cooktop (CSV Import)
LED-CSV-0112,INV/CSV/00112,order_CSV26080112,7682.00,7682.00,emi,2026-08-06,received,Home & Kitchen | Philips air fryer 4L (CSV Import)
LED-CSV-0113,INV/CSV/00113,order_CSV26080113,31873.00,31873.00,card,2026-08-06,received,Jewellery | CaratLane silver anklet (CSV Import)
LED-CSV-0114,INV/CSV/00114,order_CSV26080114,2273.00,2273.00,upi,2026-08-06,received,Fashion - Footwear | Nike Revolution 6 shoes (CSV Import)
LED-CSV-0115,INV/CSV/00115,order_CSV26080115,2579.00,2579.00,netbanking,2026-08-06,received,Grocery & Essentials | Aashirvaad atta 10kg (CSV Import)
LED-CSV-0116,INV/CSV/00116,order_CSV26080116,1664.00,1664.00,card,2026-08-06,received,Grocery & Essentials | Maggi noodles 12-pack (CSV Import)
LED-CSV-0117,INV/CSV/00117,order_CSV26080117,15909.00,15909.00,upi,2026-08-06,received,Sports & Fitness | Bowflex adjustable dumbbell (CSV Import)
LED-CSV-0118,INV/CSV/00118,order_CSV26080118,1969.00,1969.00,netbanking,2026-08-06,received,Beauty & Personal Care | Mamaearth vitamin C serum (CSV Import)
LED-CSV-0119,INV/CSV/00119,order_CSV26080119,3620.00,3620.00,upi,2026-08-06,received,Fashion - Women Clothing | BIBA printed kurta (CSV Import)
LED-CSV-0120,INV/CSV/00120,order_CSV26080120,3062.00,3062.00,card,2026-08-06,received,Fashion - Footwear | Nike Revolution 6 shoes (CSV Import)
LED-CSV-0121,INV/CSV/00121,order_CSV26080121,1676.00,1676.00,card,2026-08-06,received,Fashion - Women Clothing | Libas ethnic kurta palazzo (CSV Import)
LED-CSV-0122,INV/CSV/00122,order_CSV26080122,4794.00,4794.00,upi,2026-08-06,received,Sports & Fitness | Yonex badminton racket (CSV Import)
LED-CSV-0123,INV/CSV/00123,order_CSV26080123,5976.00,5976.00,emi,2026-08-06,received,Fashion - Women Clothing | Floral kurti set (CSV Import)
LED-CSV-0124,INV/CSV/00124,order_CSV26080124,431.00,431.00,wallet,2026-08-06,received,Books & Stationery | Atomic Habits paperback (CSV Import)
LED-CSV-0125,INV/CSV/00125,order_CSV26080125,1565.00,1565.00,card,2026-08-06,received,Fashion - Men Clothing | Levi's 511 jeans (CSV Import)
LED-CSV-0126,INV/CSV/00126,order_CSV26080126,6342.00,6342.00,card,2026-08-06,received,Sports & Fitness | Bowflex adjustable dumbbell (CSV Import)
LED-CSV-0127,INV/CSV/00127,order_CSV26080127,52290.00,52290.00,upi,2026-08-06,received,Electronics - Smartphone | Samsung Galaxy A54 5G (CSV Import)
LED-CSV-0128,INV/CSV/00128,order_CSV26080128,22727.00,22727.00,upi,2026-08-06,received,Jewellery | CaratLane silver anklet (CSV Import)
LED-CSV-0129,INV/CSV/00129,order_CSV26080129,2570.00,2570.00,emi,2026-08-06,received,Sports & Fitness | Bowflex adjustable dumbbell (CSV Import)
LED-CSV-0130,INV/CSV/00130,order_CSV26080130,2378.00,2378.00,emi,2026-08-06,received,Sports & Fitness | Boldfit resistance bands (CSV Import)
LED-CSV-0131,INV/CSV/00131,order_CSV26080131,72444.00,72444.00,netbanking,2026-08-07,received,Electronics - Smartphone | OnePlus Nord CE3 (CSV Import)
LED-CSV-0132,INV/CSV/00132,order_CSV26080132,82231.00,82231.00,netbanking,2026-08-07,received,"Electronics - Laptop | Lenovo IdeaPad 3 15"" (CSV Import)"
LED-CSV-0133,INV/CSV/00133,order_CSV26080133,14060.00,14060.00,card,2026-08-07,received,Sports & Fitness | Boldfit resistance bands (CSV Import)
LED-CSV-0134,INV/CSV/00134,order_CSV26080134,2265.00,2265.00,card,2026-08-07,received,Grocery & Essentials | Maggi noodles 12-pack (CSV Import)
LED-CSV-0135,INV/CSV/00135,order_CSV26080135,2855.00,2855.00,netbanking,2026-08-07,received,Grocery & Essentials | Tata Tea Gold 1kg (CSV Import)
LED-CSV-0136,INV/CSV/00136,order_CSV26080136,3539.00,3539.00,wallet,2026-08-07,received,Fashion - Men Clothing | Jockey innerwear combo (CSV Import)
LED-CSV-0137,INV/CSV/00137,order_CSV26080137,57543.00,57543.00,card,2026-08-07,received,Electronics - Laptop | HP Pavilion x360 (CSV Import)
LED-CSV-0138,INV/CSV/00138,order_CSV26080138,4387.00,4387.00,card,2026-08-07,received,Fashion - Women Clothing | Floral kurti set (CSV Import)
LED-CSV-0139,INV/CSV/00139,order_CSV26080139,945.00,945.00,emi,2026-08-07,received,Books & Stationery | Atomic Habits paperback (CSV Import)
LED-CSV-0140,INV/CSV/00140,order_CSV26080140,4710.00,4710.00,emi,2026-08-07,received,Fashion - Men Clothing | Levi's 511 jeans (CSV Import)
LED-CSV-0141,INV/CSV/00141,order_CSV26080141,17164.00,17164.00,wallet,2026-08-07,received,Sports & Fitness | Bowflex adjustable dumbbell (CSV Import)
LED-CSV-0142,INV/CSV/00142,order_CSV26080142,107099.00,107099.00,card,2026-08-07,received,Electronics - Laptop | ASUS VivoBook 15 (CSV Import)
LED-CSV-0143,INV/CSV/00143,order_CSV26080143,471.00,471.00,card,2026-08-07,received,Books & Stationery | Ikigai paperback (CSV Import)
LED-CSV-0144,INV/CSV/00144,order_CSV26080144,2885.00,2885.00,netbanking,2026-08-07,received,Fashion - Footwear | Nike Revolution 6 shoes (CSV Import)
LED-CSV-0145,INV/CSV/00145,order_CSV26080145,7894.00,7894.00,card,2026-08-07,received,Electronics - Earbuds/TWS | boAt Airdopes 141 (CSV Import)
LED-CSV-0146,INV/CSV/00146,order_CSV26080146,388.00,388.00,card,2026-08-07,received,Grocery & Essentials | Maggi noodles 12-pack (CSV Import)
LED-CSV-0147,INV/CSV/00147,order_CSV26080147,9498.00,9498.00,card,2026-08-07,received,Jewellery | Tanishq 22K gold mangalsutra (CSV Import)
LED-CSV-0148,INV/CSV/00148,order_CSV26080148,27841.00,27841.00,upi,2026-08-07,received,Jewellery | Malabar diamond pendant (CSV Import)
LED-CSV-0149,INV/CSV/00149,order_CSV26080149,345.00,345.00,card,2026-08-07,received,Beauty & Personal Care | Forest Essentials wash (CSV Import)
LED-CSV-0150,INV/CSV/00150,order_CSV26080150,523.00,523.00,card,2026-08-07,received,Sports & Fitness | Bowflex adjustable dumbbell (CSV Import)
