Settlement ID,Entity ID,Type,Amount,Fee,Tax,Credit,Debit,Settlement UTR,Settled At,Order ID,Gateway
setl_TH26080001,pay_TH26080001,payment,793.00,15.86,2.85,774.29,0.00,RATN26082600000100,2026-08-02 00:14:00,order_TH26080001,Razorpay Stack
setl_TH26080002,pay_TH26080002,payment,5398.00,94.47,17.00,5286.53,0.00,HDFC26082600000200,2026-08-02 01:17:00,order_TH26080002,HDFC Bank (PG)
setl_TH26080003,pay_TH26080003,payment,410.00,7.18,1.29,401.53,0.00,ICIC26082600000300,2026-08-02 02:14:00,order_TH26080003,ICICI Direct
setl_TH26080004,pay_TH26080004,payment,3132.00,65.75,11.28,3054.97,0.00,RATN26082600000400,2026-08-02 03:27:00,order_TH26080004,Razorpay Stack
setl_TH26080005,pay_TH26080005,payment,1285.00,25.70,4.63,1254.67,0.00,AXIS26082600000500,2026-08-02 04:35:00,order_TH26080005,Axis UPI Express
setl_TH26080006,pay_TH26080006,payment,19831.00,347.04,62.47,19421.49,0.00,RATN26082600000600,2026-08-02 05:42:00,order_TH26080006,Razorpay Stack
setl_TH26080007,pay_TH26080007,payment,1035.00,20.70,3.73,1010.57,0.00,ICIC26082600000700,2026-08-02 06:43:00,order_TH26080007,ICICI Direct
setl_TH26080008,pay_TH26080008,payment,25233.00,504.66,90.84,24637.50,0.00,ICIC26082600000800,2026-08-02 07:55:00,order_TH26080008,ICICI Direct
setl_TH26080009,pay_TH26080009,payment,595.00,11.90,2.14,580.96,0.00,HDFC26082600000900,2026-08-02 08:52:00,order_TH26080009,HDFC Bank (PG)
setl_TH26080010,pay_TH26080010,payment,526.00,0.00,0.00,526.00,0.00,RATN26082600001000,2026-08-02 09:56:00,order_TH26080010,Razorpay Stack
setl_TH26080011,pay_TH26080011,payment,10877.00,217.54,39.16,10620.30,0.00,HDFC26082600001100,2026-08-02 11:07:00,order_TH26080011,HDFC Bank (PG)
setl_TH26080012,pay_TH26080012,payment,263.00,0.00,0.00,263.00,0.00,AXIS26082600001200,2026-08-02 12:12:00,order_TH26080012,Axis UPI Express
setl_TH26080013,pay_TH26080013,payment,3074.00,46.11,8.30,3019.59,0.00,HDFC26082600001300,2026-08-02 13:13:00,order_TH26080013,HDFC Bank (PG)
setl_TH26080014,pay_TH26080014,payment,107535.00,1613.02,290.34,105631.64,0.00,HDFC26082600001400,2026-08-02 14:23:00,order_TH26080014,HDFC Bank (PG)
setl_TH26080015,pay_TH26080015,payment,14409.00,216.13,38.90,14153.97,0.00,ICIC26082600001500,2026-08-02 15:36:00,order_TH26080015,ICICI Direct
setl_TH26080016,pay_TH26080016,payment,1292.00,0.00,0.00,1292.00,0.00,AXIS26082600001600,2026-08-02 16:41:00,order_TH26080016,Axis UPI Express
setl_TH26080017,pay_TH26080017,payment,30684.00,467.33,82.85,30133.82,0.00,ICIC26082600001700,2026-08-02 17:44:00,order_TH26080017,ICICI Direct
setl_TH26080018,pay_TH26080018,payment,5575.00,83.62,15.05,5476.33,0.00,HDFC26082600001800,2026-08-02 18:54:00,order_TH26080018,HDFC Bank (PG)
setl_TH26080019,pay_TH26080019,payment,141724.00,0.00,0.00,141724.00,0.00,RATN26082600001900,2026-08-02 19:50:00,order_TH26080019,Razorpay Stack
setl_TH26080020,pay_TH26080020,payment,3609.00,72.18,12.99,3523.83,0.00,ICIC26082600002000,2026-08-02 21:07:00,order_TH26080020,ICICI Direct
setl_TH26080021,pay_TH26080021,payment,85075.00,0.00,0.00,85075.00,0.00,RATN26082600002100,2026-08-02 22:01:00,order_TH26080021,Razorpay Stack
setl_TH26080022,pay_TH26080022,payment,28683.00,717.08,129.07,27836.85,0.00,ICIC26082600002200,2026-08-02 23:13:00,order_TH26080022,ICICI Direct
setl_TH26080023,pay_TH26080023,payment,737.00,11.05,1.99,723.96,0.00,ICIC26082600002300,2026-08-03 00:15:00,order_TH26080023,ICICI Direct
setl_TH26080024,pay_TH26080024,payment,51713.00,1034.26,186.17,50492.57,0.00,ICIC26082600002400,2026-08-03 01:27:00,order_TH26080024,ICICI Direct
setl_TH26080025,pay_TH26080025,payment,116247.00,1743.70,313.87,114189.43,0.00,HDFC26082600002500,2026-08-03 02:33:00,order_TH26080025,HDFC Bank (PG)
setl_TH26080026,pay_TH26080026,payment,24872.00,435.26,78.35,24358.39,0.00,RATN26082600002600,2026-08-03 03:36:00,order_TH26080026,Razorpay Stack
setl_TH26080027,pay_TH26080027,payment,337.00,0.00,0.00,337.00,0.00,RATN26082600002700,2026-08-03 04:43:00,order_TH26080027,Razorpay Stack
setl_TH26080028,pay_TH26080028,payment,80813.00,1616.26,290.93,78905.81,0.00,ICIC26082600002800,2026-08-03 05:53:00,order_TH26080028,ICICI Direct
setl_TH26080029,pay_TH26080029,payment,2738.00,47.92,8.63,2681.45,0.00,HDFC26082600002900,2026-08-04 00:05:00,order_TH26080029,HDFC Bank (PG)
setl_TH26080030,pay_TH26080030,payment,21858.00,0.00,0.00,21858.00,0.00,PYTM26082600003000,2026-08-03 07:59:00,order_TH26080030,PhonePe Gateway
setl_TH26080031,pay_TH26080031,payment,4648.00,69.72,12.55,4565.73,0.00,ICIC26082600003100,2026-08-03 09:06:00,order_TH26080031,ICICI Direct
setl_TH26080032,pay_TH26080032,payment,5691.00,85.36,15.36,5590.28,0.00,RATN26082600003200,2026-08-03 10:19:00,order_TH26080032,Razorpay Stack
setl_TH26080033,pay_TH26080033,payment,20420.00,408.40,73.51,19938.09,0.00,ICIC26082600003300,2026-08-03 11:24:00,order_TH26080033,ICICI Direct
setl_TH26080034,pay_TH26080034,payment,1133.00,19.83,3.57,1109.60,0.00,HDFC26082600003400,2026-08-03 12:26:00,order_TH26080034,HDFC Bank (PG)
setl_TH26080035,pay_TH26080035,payment,4419.00,77.33,13.92,4327.75,0.00,RATN26082600003500,2026-08-03 13:28:00,order_TH26080035,Razorpay Stack
setl_TH26080036,pay_TH26080036,payment,230.00,0.00,0.00,230.00,0.00,HDFC26082600003600,2026-08-03 14:35:00,order_TH26080036,HDFC Bank (PG)
setl_TH26080037,pay_TH26080037,payment,20521.00,410.42,73.88,20036.70,0.00,AXIS26082600003700,2026-08-03 15:47:00,order_TH26080037,Axis UPI Express
setl_TH26080038,pay_TH26080038,payment,5344.00,118.18,19.24,5206.58,0.00,ICIC26082600003800,2026-08-03 16:47:00,order_TH26080038,ICICI Direct
setl_TH26080039,pay_TH26080039,payment,1688.00,0.00,0.00,1688.00,0.00,HDFC26082600003900,2026-08-03 17:59:00,order_TH26080039,HDFC Bank (PG)
setl_TH26080040,pay_TH26080040,payment,2582.00,64.55,11.62,2505.83,0.00,RATN26082600004000,2026-08-03 18:59:00,order_TH26080040,Razorpay Stack
setl_TH26080041,pay_TH26080041,payment,137852.00,0.00,0.00,137852.00,0.00,AXIS26082600004100,2026-08-03 20:13:00,order_TH26080041,Axis UPI Express
setl_TH26080042,pay_TH26080042,payment,22801.00,399.02,71.82,22330.16,0.00,ICIC26082600004200,2026-08-03 21:20:00,order_TH26080042,ICICI Direct
setl_TH26080043,pay_TH26080043,payment,3939.00,0.00,0.00,3939.00,0.00,AXIS26082600004300,2026-08-03 22:18:00,order_TH26080043,Axis UPI Express
setl_TH26080044,pay_TH26080044,payment,80779.00,1211.68,218.10,79349.22,0.00,HDFC26082600004400,2026-08-03 23:19:00,order_TH26080044,HDFC Bank (PG)
setl_TH26080045,pay_TH26080045,payment,4527.00,0.00,0.00,4527.00,0.00,AXIS26082600004500,2026-08-04 00:32:00,order_TH26080045,Axis UPI Express
